Date,Max Temp,Min Temp,Precip (in.),Snowfall (in.),Total Precip (in.),Daily Mean AQI,Daily Mean PM2.5 (ug/m^3)
8/20/2020,93,61,0.07,0,0.07,58,15.6
8/21/2020,94,61,0,0,0,76,23.9
8/22/2020,97,65,0,0,0,94,32.6
8/23/2020,98,60,0,0,0,93,31.9
8/24/2020,98,68,0,0,0,84,27.7
8/25/2020,98,68,0,0,0,69,20.7
8/26/2020,97,65,0.15,0,0.15,53,13
8/27/2020,96,59,0,0,0,33,8
8/28/2020,80,58,0.01,0,0.01,44,10.5
8/29/2020,79,53,0,0,0,28,6.8
8/30/2020,91,53,0,0,0,28,6.6
8/31/2020,82,46,0.1,0,0.1,30,7.1
9/1/2020,80,51,0,0,0,29,6.9
9/2/2020,92,52,0,0,0,44,10.6
9/3/2020,89,56,0,0,0,52,12.7
9/4/2020,91,58,0,0,0,56,14.7
9/5/2020,101,61,0,0,0,33,8
9/6/2020,97,67,0,0,0,82,26.8
9/7/2020,93,43,0.15,0,0.15,84,27.9
9/8/2020,43,31,0.72,1,1.72,4,1
9/9/2020,42,31,0.02,0,0.02,16,3.8
9/10/2020,54,35,0.01,0,0.01,34,8.2
9/11/2020,70,37,0,0,0,32,7.6
9/12/2020,81,47,0,0,0,14,3.4
9/14/2020,89,53,0,0,0,26,6.2
9/15/2020,89,58,0,0,0,47,11.2
9/16/2020,75,54,0,0,0,88,29.9
9/17/2020,86,51,0,0,0,96,33.4
9/18/2020,86,51,0,0,0,97,33.9
9/19/2020,90,57,0,0,0,58,15.3
9/20/2020,86,53,0,0,0,55,14.1
9/21/2020,88,51,0,0,0,52,12.7
9/22/2020,87,56,0,0,0,38,9.2
9/23/2020,86,57,0,0,0,52,12.4
9/24/2020,91,59,0,0,0,44,10.5
9/25/2020,87,61,0,0,0,55,14
9/26/2020,88,54,0,0,0,65,18.8
9/27/2020,56,42,0.03,0,0.03,23,5.6
9/28/2020,62,37,0,0,0,25,5.9
9/29/2020,81,48,0,0,0,69,20.5
9/30/2020,74,44,0,0,0,55,13.8
10/1/2020,68,42,0,0,0,59,15.7
10/2/2020,76,43,0,0,0,59,15.9
10/3/2020,66,42,0,0,0,45,10.8
10/4/2020,83,44,0,0,0,41,9.9
10/5/2020,83,45,0,0,0,61,16.9
10/6/2020,87,43,0,0,0,61,16.7
10/7/2020,84,51,0,0,0,74,23
10/8/2020,85,47,0,0,0,83,27.5
10/9/2020,85,55,0,0,0,54,13.7
10/10/2020,86,46,0,0,0,77,24.7
10/11/2020,79,37,0,0,0,47,11.3
10/12/2020,76,32,0,0,0,19,4.5
10/13/2020,81,39,0,0,0,33,7.8
10/14/2020,80,42,0,0,0,72,22.2
10/15/2020,53,27,0,0,0,29,6.9
10/16/2020,70,22,0,0,0,24,5.7
10/17/2020,70,38,0,0,0,27,6.5
10/18/2020,50,28,0,0,0,19,4.5
10/19/2020,66,30,0,0,0,57,15
10/20/2020,66,36,0,0,0,33,8
10/21/2020,78,35,0,0,0,53,13.2
10/22/2020,54,22,0,0,0,29,6.9
10/24/2020,54,20,0,0,0,62,17.1
10/25/2020,24,8,0.18,2.9,3.08,16,3.8
10/26/2020,16,4,0.08,1.1,1.18,34,8.2
10/27/2020,43,8,0,0,0,59,15.8
10/28/2020,53,28,0,0,0,23,5.6
10/29/2020,68,32,0,0,0,32,7.7
10/30/2020,70,38,0,0,0,31,7.4
10/31/2020,65,31,0,0,0,23,5.5
11/1/2020,68,31,0,0,0,53,12.9
11/2/2020,77,41,0,0,0,36,8.6
11/3/2020,79,48,0,0,0,41,9.8
11/4/2020,77,47,0,0,0,26,6.2
11/5/2020,77,46,0,0,0,33,7.8
11/6/2020,74,44,0,0,0,53,12.9
11/7/2020,73,53,0,0,0,21,5
11/8/2020,60,41,0,0,0,12,2.8
11/9/2020,43,25,0.05,0,0.05,21,5
11/10/2020,48,16,0,0,0,15,3.6
11/11/2020,49,15,0,0,0,18,4.3
11/12/2020,45,18,0,0,0,19,4.6
11/13/2020,64,20,0,0,0,18,4.3
11/14/2020,51,26,0.01,0,0.01,8,2
11/15/2020,59,16,0,0,0,8,1.8
11/16/2020,68,31,0,0,0,20,4.8
11/17/2020,76,33,0,0,0,20,4.9
11/18/2020,74,44,0,0,0,30,7.2
11/19/2020,65,32,0,0,0,31,7.4
11/20/2020,56,29,0,0,0,11,2.7
11/21/2020,49,28,0,0,0,34,8.2
11/22/2020,51,19,0,0,0,33,8
11/23/2020,66,27,0,0,0,62,17.2
11/24/2020,42,18,0.44,5,5.44,18,4.2
11/25/2020,45,14,0,0,0,62,17.5
11/26/2020,40,18,0,0,0,23,5.6
11/27/2020,40,18,0,0,0,49,11.7
11/28/2020,51,25,0,0,0,20,4.8
11/29/2020,37,19,0,0,0,15,3.7
11/30/2020,57,18,0,0,0,19,4.6
12/1/2020,42,25,0,0,0,13,3.2
12/2/2020,32,17,0,0,0,13,3.1
12/3/2020,47,18,0,0,0,22,5.3
12/4/2020,59,29,0,0,0,25,6.1
12/5/2020,52,28,0,0,0,17,4
12/6/2020,61,25,0,0,0,14,3.3
12/7/2020,59,32,0,0,0,17,4
12/8/2020,65,31,0,0,0,27,6.4
12/9/2020,68,34,0,0,0,31,7.5
12/10/2020,43,27,0.05,0.5,0.55,26,6.3
12/11/2020,27,12,0.11,0.7,0.81,23,5.5
12/12/2020,24,6,0.16,2,2.16,61,16.9
12/13/2020,29,8,0.01,1.1,1.11,38,9.2
12/14/2020,32,5,0.05,0.3,0.35,63,17.7
12/15/2020,32,8,0.03,0.5,0.53,29,7
12/16/2020,40,18,0,0,0,17,4.1
12/17/2020,47,21,0,0,0,51,12.1
12/18/2020,38,18,0,0,0,35,8.4
12/19/2020,44,16,0,0,0,10,2.5
12/20/2020,49,17,0,0,0,5,1.3
12/21/2020,57,34,0,0,0,9,2.2
12/22/2020,63,28,0,0,0,7,1.7
12/23/2020,30,13,0,0,0,6,1.5
12/24/2020,52,19,0,0,0,7,1.7
12/25/2020,60,31,0,0,0,18,4.2
12/26/2020,61,29,0,0,0,9,2.1
12/27/2020,46,26,0,0,0,5,1.3
12/28/2020,30,25,0.16,1.9,2.06,30,7.1
12/29/2020,33,15,0,0,0,48,11.5
12/30/2020,44,7,0,0,0,32,7.6
12/31/2020,43,19,0,0,0,69,20.6
